actor_name,actor_slug
Хэйден Куо,kheiden-kuo
Цяо Синь,tsiao-sin
Ли Цзя Хао,li-tszia-khao
Сон Хун,son-khun
Игэта Хироэ,igeta-khiroe
Ли Мин Чжон,li-min-chzhon
Нам Джи Хён,nam-dzhi-khion
Ян Цзы Шань,ian-tszy-shan
Ким Сан У,kim-san-u
Ли Чун Хо,li-chun-kho
Перт Танапон Сукумпантанасан,pert-tanapon-sukumpantanasan
Чан Ин Соп,chan-in-sop
Ирияма Норико,iriiama-noriko
Ян Мин На,ian-min-na
Пак Чжу Хён,pak-chzhu-khion
Юи,iui
Ли Джун Хёк,li-dzhun-khiok
Ом Хён Гён,om-khion-gion
Сон Джи Ру,son-dzhi-ru
Сухо,sukho
Понг Нават Кулраттанарак,pong-navat-kulrattanarak
Гу Чжа Сон,gu-chzha-son
Лю Синь Ци,liu-sin-tsi
Чан Гын Сок,chan-gyn-sok
Кан Хе Вон,kan-khe-von
Сюй Лу,siui-lu
Се Бинь Бинь,se-bin-bin
Ли Синь Цзэ,li-sin-tsze
Номура Сюхэй,nomura-siukhei
Ким Хё Чжин,kim-khio-chzhin
Го Джун,go-dzhun
Пу Тао,pu-tao
Чхве Су Ён,chkhve-su-ion
Фурукава Юта,furukava-iuta
Го А Сон,go-a-son
Юй Вэнь Вэнь,iui-ven-ven
Сунь Сюэ Нин,sun-siue-nin
Го Цзин Фэй,go-tszin-fei
Да Вон,da-von
Дэн Ша,den-sha
Джо Чэн,dzho-chen
Ха Сок Джин,kha-sok-dzhin
Ми Жэ,mi-zhe
Чон Джэ Кван,chon-dzhe-kvan
Ли Тхэ Сон,li-tkhe-son
Чжан Юн Бо,chzhan-iun-bo
Масю Ая,masiu-aia
У Мань Сы,u-man-sy
Цзян Цзы Лэ,tszian-tszy-le
Чон Дон Хун,chon-don-khun
Ли Гэ Ян,li-ge-ian
Чэнь Синь Хай,chen-sin-khai
Ито Аюми,ito-aiumi
Чу Чжин Мо,chu-chzhin-mo
Ким Сан Гён,kim-san-gion
Чжан Бо Цзя,chzhan-bo-tszia
Ся Мэн,sia-men
Шао Юй Вэй,shao-iui-vei
Сяо Шунь Яо,siao-shun-iao
Ту Чжи Ин,tu-chzhi-in
Ван Цзин,van-tszin
Чэнь Фэй Юй,chen-fei-iui
Кэй Лэртситтичай,kei-lertsittichai
Ван Юань,van-iuan
Цзинь Ши Цзя,tszin-shi-tszia
Ё Кимико,io-kimiko
Кан Мин А,kan-min-a
Ли До Хён,li-do-khion
Ван Ли Кунь,van-li-kun
О Чжи Хо,o-chzhi-kho
Чан Бинь,chan-bin
Сон Сок Гу,son-sok-gu
Ким Син Рок,kim-sin-rok
Аариф Рахман,aarif-rakhman
Хай Лин,khai-lin
Пак Сон Ён,pak-son-ion
Ли Эллия,li-elliia
Ян Сюй Вэнь,ian-siui-ven
Такахаси Кёхэй,takakhasi-kiokhei
Ли Сан И,li-san-i
Ёсикава Аи,iosikava-ai
Ли И Тун,li-i-tun
Го Бо Гёль,go-bo-giol
Насу Юто,nasu-iuto
Нонакун Чанон Сантинатонкун,nonakun-chanon-santinatonkun
Ли Су Гён,li-su-gion
Би Намтип Чонрачатавибун,bi-namtip-chonrachatavibun
Ан Сок Хван,an-sok-khvan
Николас Цзе,nikolas-tsze
Ху Юнь Хао,khu-iun-khao
Ян Хао Юй,ian-khao-iui
Кимура Тацунари,kimura-tatsunari
Ван Ян Мин,van-ian-min
Лэй Цзя Инь,lei-tszia-in
Пак Си Ён,pak-si-ion
Чжу Цзы Цзе,chzhu-tszy-tsze
Чжань Юй,chzhan-iui
Идзука Кэнта,idzuka-kenta
Хоу Мин Хао,khou-min-khao
Ким Джу Хон,kim-dzhu-khon
Ху Сянь Сюй,khu-sian-siui
Джейджей Чаякон Тжутамат,dzheidzhei-chaiakon-tzhutamat
Окада Ёсинори,okada-iosinori
Чон До Ён,chon-do-ion
Кэ Ин,ke-in
Линь Бо Хун,lin-bo-khun
Чо Су Хян,cho-su-khian
Чон Дон Хван,chon-don-khvan
Бум Киткон Кхамкрит,bum-kitkon-kkhamkrit
Чжан И Цзе,chzhan-i-tsze
Тео Ю,teo-iu
Чжо Ан,chzho-an
Ким Тхэ Хи,kim-tkhe-khi
Ким Хи Чан,kim-khi-chan
Ли Цин Тянь,li-tsin-tian
Мён Се Бин,mion-se-bin
Сюй Цзя Вэй,siui-tszia-vei
