"name","poster_dorama_src","country","release_year","genre","duration_minutes","duration_episodes","status","translate","actors","desc","slug"
"Оставайся молодым, оставайся страстным","wp-content\uploads\2023\11\ostavajsya-molodym-ostavajsya-strastnym.jpg","Китай","2023","Военный, Драма, Исторический","45 мин","4","Выходит","SoftBox","Го Сяо Тин,Цао Цзюнь,Чжан Хань,Ян Шо","Во время контрреволюционного переворота в Шанхае, произошедшего в 1927 году, погибли родители двух братьев и сестры. Дети чудом уцелели в массовой резне, но так случилось, что волею судьбы их пути разошлись. Прошли годы, и ставшие взрослыми Чэнь Шаньхэ, Чэнь Вэй и Чэнь Лися достигли не только профессиональных успехов, но и отыскали друг друга. Братья и сестра хотят найти человека, стоявшего за убийством их родителей. Вот только в их планы вмешивается начавшаяся японо-китайская война. Члены семьи Чэнь доблестно пройдут это испытание, внеся свои имена в историю страны, при этом заплатив своей кровью.","ostavaisia-molodym-ostavaisia-strastnym"
"Императорское совершенство","wp-content\uploads\2019\11\imperatorskoe-sovershenstvo.jpg","Китай","2019","Военный, Драма, Исторический, Мелодрама","45 мин.","72","Выходит","Дораманутая","Ван Жуй Цзы,Ли И Тун,Ло Цзинь,Ся Нань,Цзинь Хань","Главный герой дорамы «Императорское совершенство» Сяо Дин Цюань, объявляется наследным принцем. Его отец правит четвертый год и такой титул вызывает зависть у его братьев. В добавок ко всему ему симпатизирует генерал Гу Сы Лин и высокопоставленный чиновник Лу Ши Ю, видя его искренность в заботе о благе страны и поданных. Это вызывает озабоченность со стороны действующего монарха, его отца, который опасается за свое положение.","imperatorskoe-sovershenstvo"
"У священного дерева есть сердце","wp-content\uploads\2023\11\u-svyashhennog…eva-est-serdce.jpg","Китай","2023","Военный, Фэнтези","36 мин","4","Выходит","SoftBox","Бао Хань,Ми Жэ,Чжу Шэн И","В неспокойные времена жила святая Синьюэ, наделенная сверхъестественным глазом, что позволяло ей видеть тайны небес. Ей приходится помогать принцу Бейронгу, которому нужно разобраться с тайной Бейжуна. Сама она едва не погибает, а после этого её отправляют во дворец Дун Линь.","u-sviashchennogo-dereva-est-serdtse"
"Ромашка","wp-content\uploads\2023\08\romashka1.jpg","Китай","2034","Военный, Фэнтези","2 часа 2 мин","16","Выходит","SoftBox","Дион Лам,Чон У Сон,Чон Чжи Хён,Чхон Хо Джин,Ю Сун Чхоль","В Амстердаме юная художница старалась заявить о себе, готовившись к выставке, а в свободное время она подрабатывала на улице, рисуя портреты. К ней и обращается соотечественник, желающий запечатлеть свой образ на холсте, и девушка с радостью берется за дело. Довольно скоро она замечает, что незнакомец постоянно смотрит вдаль. Как выяснилось, случайный прохожий был агентом Интерпола и он устроил слежку за преступниками под прикрытием любителя искусства. А за ним и художницей в свою очередь ведет наблюдение киллер при помощи прицела своей винтовки. Киллеру не удается устоять перед красотой героини, отчего история приобретает весьма неожиданное развитие.","romashka"
"Затяжной сезон","wp-content\uploads\2023\05\zatyazhnoj-sezon.jpg","Китай","2023","Детектив","1 час 10 мин","12","Выходит","SoftBox","Ли Гэн Си,Цинь Хао,Чжан Цзин Чу,Чжан Ю Хао","Пожилой Сян всю сознательную жизнь был обычным работягой на заводе, но достаточно внимательным и мудрым, чтобы быть полезным друзьям и близким. И если помощь молодому и неопытному приятелю, совершившему необдуманную покупку поддержанной машины, оказывается чем-то рядовым, то уже в качестве активиста завода он отправляется на место преступления. Шеф сообщает Ван Сяну, что дело связано с расчленением тела. К такому развитию событий мужчина не был готов, и имелась причина на то, чтобы заволноваться. Машинист оказывается на больничной койке, а его супруга задает вопрос о том, что же он увидел в доме Сунь Гуйлань. Он просит жену быть потише, ведь это их личное дело.","zatiazhnoi-sezon"
"Три дня до выпускного","wp-content\uploads\2023\05\tri-dnya-do-vypusknogo.jpg","Япония","2022","Детектив","15 мин","24","Выходит","SoftBox","Адати Рика,Иноуэ Юки,Кимура Тацунари,Китаяма Хиромицу,Сакурада Хиёри","Четверым ученикам старшей школы пришло письмо о том, что их учительница похищена и только они могут ей помочь. Подростки думают, что кто-то просто разыгрывает их, но постепенно понимают, что это вовсе не шутки.","tri-dnia-do-vypusknogo"
"Миссия секретного агента","wp-content\uploads\2023\09\missiya-sekretnogo-agenta.jpg","Китай","2023","Детектив, Драма","45 мин","38","Выходит","SoftBox","Ван Ли Кунь,Ван Ян,Вэй Да Сюнь,Ли И Тун,Хань Гэн,Ян Ю Нин","В центре внимания сюжета — компьютерная игра, в которой обучают шпионов. Сотрудники разведывательного отдела, расследуя кражу лабораторных исследований, ловят подозреваемого, который рассказал, что это было заданием его босса. Но босс связывается с ним только через игру под названием «Миссия секретного агента». Чем дальше они копают в этом деле, тем больше подробностей узнают: оказывается, уже многие их друзья втянуты в эту игру, и все это уже напоминает шпионский заговор.","missiia-sekretnogo-agenta"
"Жертва с изъяном","wp-content\uploads\2023\07\zhertva-s-izyanom.jpg","Китай","2023","Детектив, Драма","45 мин","29","Выходит","SoftBox","Линь Юнь,Лю И Цзюнь,Хэй Цзэ,Чжоу Сюнь,Чжоу Чэн Ао,Чэнь Шу","Поздним вечером в полицию звонит человек, чтобы сообщить о произошедшем изнасиловании в президентских апартаментах корпорации Дачэн. Полиция прибыла на место событий, и пострадавшая особа Чжао Сюнь наконец-то вышла из ванной комнаты, и вместе с господином Чэном была доставлена в участок для дачи показаний. А за несколько часов до этого инцидента адвокатесса Линь Кань столкнулась с домогательствами со стороны весьма богатого клиента, которым выступал президент компании Лун. Этот человек полагал, что покупает в услужение людей, а не оплачивает их профессиональные навыки, что Линь не была намерена терпеть и дальше. Не успела она вернуться домой, как ей сообщили о задержании господина Чэня и причину, по которой тот угодил в полицейский участок. Для Линь наступает сложный период в профессиональной жизни, и она должна понять, где правда, а где ложь.","zhertva-s-izianom"
"Тайна замка Нанг Кхой","wp-content\uploads\2022\12\tajna-zamka-nang-kxoj.jpg","Таиланд","2022","Детектив, Драма","1 час 25 мин","17","Выходит","SoftBox","Бум Киткон Кхамкрит","Кунг способная в учёбе и мечтает стать учителем. Девушка бедна, но очень старается и её мечта вот вот должна осуществиться. Однако долг, который числится за её семьёй заставляет героиню поступить сиделкой к некоему господину в загадочный особняк Нанг Кхой. Туда она отправляется вместе с подругой и Джумом, другом детства, который безответно влюблён в Кунг. В поездке девушка знакомится с Саккатом, который неоднократно спасает ей жизнь в этом мрачном месте, ведь не зря же сюда вновь и вновь нанимают молодых девушек. Куда же они деваются и постигнет ли героиню та же участь мы узнаем, посмотрев дораму.","taina-zamka-nang-kkhoi"
"Доктор-детектив","wp-content\uploads\2023\08\doktor-detektiv-2.jpg","Таиланд","2023","Детектив, Драма","1 час 6 мин","18","Выходит","SoftBox","Алекс Рэнделл,Барри Надет Кугимия,Кимберли Энн Волтемас","В маленькой деревне происходит вспышка инфекционной болезни, и вскоре эта инфекция начинается распространяться дальше. Врачи не могут спасти заразившихся людей, и тогда за эту проблему берется группа эпидемиологов. Под руководством доктора Кункао они пытаются выяснить, откуда пошла болезнь и как ее устранить. Получится ли у них это сделать? Найдут ли они лекарство? Узнаем в сериале!","doktor-detektiv"
"Давайте начнем защиту","wp-content\uploads\2022\09\davajte-nachnem-zashhitu1.jpg","Южная Корея","2022","Детектив, Драма","1 час","12","Выходит","SoftBox","Ли Кю Хён,Ли Сан Хи,Мин Сон Ук,Чон Джин Ён,Чон Мин Сон,Чон Рё Вон","Но Чак Хи — амбициозна и решительна. Провалов в её работе не случается. Почти. Из-за одного неудавшегося дела девушка-адвокат, метившая в партнёры правозащитной фирмы, вынуждена год работать государственным защитником, а офис делить с эксцентричным Чжва Ши Беком. Парень подавал большие надежды и мог стать одним из правящей верхушки, однако предпочёл защищать слабых и бедных. Работая над делом о серийном убийце, герои находят общие точки соприкосновения. Какие они у гламурной адвокатши и её правдолюбивого коллеги мы узнаем, посмотрев дораму.","davaite-nachnem-zashchitu"
"Полицейский участок рядом с пожарной частью","wp-content\uploads\2022\11\policejskij-uchastok-ryadom-s-pozharnoj-chastyu.jpg","Южная Корея","2022","Детектив, Драма","1 час 5 мин","12","Выходит","SoftBox","Гон Сын Ён,Ким Рэ Вон,Сон Хо Джун,Чжи У,Чо Хи Бон,Чон Сан Хун","Рядом с пожарной станцией расположен полицейский участок, и когда поблизости случается что-то серьезное, сотрудники сразу двух служб пересекаются, чтобы восстановить порядок в городе.","politseiskii-uchastok-riadom-s-pozharnoi-chastiu"
"Теневой детектив 2","wp-content\uploads\2023\07\tenevoj-detektiv-2.jpg","Южная Корея","2023","Детектив, Драма","55 мин","8","Выходит","SoftBox","Кён Су Джин,Ким Син Рок,Ли Сон Мин,Ли Хак Чжу,Чон Джин Ён,Чу Чжин Мо","Профессиональному детективу Ким Тэк Року, занимавшемуся расследованием уголовных дел, довелось выйти на пенсию, вот только бездействовать не удастся, поскольку ему начинает названивать человек, представляющийся давним приятелем, но настроенным весьма враждебно. Отставной детектив не помнит никакого такого друга из прошлого, тем более выступающего свидетелем совершенного им убийства. Подобного рода обвинения заставляют Ким Тэк Рока взяться за частное расследование с целью определить личность звонившего, а также понять, чего тот добивается. Шаг за шагом, и детектив выходит на след персон, стоящих за достаточно крупным заговором. Ким Тэк Рок приближается к опасной черте, но последствий он не опасается, ведь привык к риску.","tenevoi-detektiv-2"
"Горничная Митазоно","wp-content\uploads\2023\10\gornichnaya-mitazono.jpg","Япония","2016","Детектив, Драма","48 мин","8","Выходит","Green Tea","Ё Кимико,Мацуока Масахиро,Хотта Аканэ","В доме губернатора появляется новая горничная по имени Митазоно, которая производит неоднозначное впечатление своим внешним видом: слишком плечистая, высокая. Еще и немногословная, ведет себя, как детектив, охотящийся на чужие тайны.","gornichnaia-mitazono"
"Мурена","wp-content\uploads\2023\06\murena.jpg","Япония","2023","Детектив, Драма","25 мин","8","Выходит","SoftBox","Маэда Ацуко,Тайра Юна,Такэда Кохэй","Поздним вечером писатель зрелых лет получает известие от полиции, что найдено тело женщины, в телефоне которой был введен его контактный номер. Мизакури спешит в больницу Кохаку, чтобы опознать тело девушки, сбросившейся с крыши. При падении пострадала голова самоубийцы, отчего было сложно установить её личность. Мизакури сообщает, что погибшая была его читательницей, и что он встречался с ней несколько раз. В больницу на опознание прибыла сестра самоубийцы. Писатель вспомнил первый день знакомства с Аки. Он решает подождать сестру умершей, чтобы поговорить о ней. Мики Сакура готова поделиться с писателем историей своей жизни. Оказывается, сестры долгий период времени не общались, потому как родители развелись и поделили детей. Мизакури не может отстраниться от произошедшего инцидента, что приводит его к необычным открытиям.","murena"
"Сыщик династии Мин","wp-content\uploads\2020\04\syshhik-dinastii-min.jpg","Китай","2020","Детектив, Драма, Исторический","45 мин.","48","Выходит","Green Tea","Гуань Хун,Ла Му Ян Цзы,Лю Яо Юань,Хэ Нань,Цай Хэн,Чжан Бо Цзя","Главный герой дорамы «Сыщик династии Мин», Тан Фан, настоящий гурман, а еще он следователь, обладающий уникальными дедуктивными способностями. Впрочем это не единственный его талант, в свободное время парень пишет романы. Во время расследования очередного запутанного дела он сталкивается с командующим императорской стражи Суй Чжоу. Они объединяются, чтобы разоблачить коварный заговор против существующего порядка в стране.","syshchik-dinastii-min"
"Убийственный роман","wp-content\uploads\2023\11\ubijstvennyj-roman.jpg","Китай","2023","Детектив, Драма, Исторический, Мелодрама","15 мин","18","Выходит","SoftBox","A-Moon,Ван И Лунь,Син Чжао Линь,Цзун Фэн Янь,Чжан Сюэ Ин,Юй И Цзе","Когда господин У Цзи, «первый в Поднебесной», обладающий яркой внешностью и притягательным голосом, устраивал праздничный фестиваль любви, то никак не ожидал, что в тот же день свяжет себя брачными узами, по ошибке указав на порывистую и отважную Тан Сяолу. Вскоре после заключения брака У Цзи обнаруживает, что Тан Сяолу связана с серийными убийствами, происходящими в столице.","ubiistvennyi-roman"
"Узор киннари","wp-content\uploads\2022\11\uzor-kinnari.jpg","Таиланд","2022","Детектив, Драма, Исторический, Мелодрама","1 час 30 мин","16","Выходит","SoftBox","Барри Надет Кугимия,Яя Урассая Спербунд","Узор киннари — это традиционное украшение на юбке, носить которую могут только женщины королевской семьи. Тем более странно, что одного из иностранных офицеров обнаруживают мёртвым именно в этом предмете одежды. Во времена, когда Тайланд только начал налаживать отношения с европейскими странами, это грозит не только скандалом, но и, возможно, войной. Поэтому тем отважным, кто будет распутывать это дело, придётся очень постараться. А ими оказываются: Интраратпакди — дворянин и глава полиции; молодой и беззаботный французский офицер Робер и Путсон — девушка-лекарь с навыками паталогоанатома. К чему придёт эта троица в распутывание загадочного убийства мы узнаем, посмотрев дораму.","uzor-kinnari"
"Роман в гостевом домике","wp-content\uploads\2023\03\romanticheskij-gostevoj-dom.jpg","Южная Корея","2023","Детектив, Драма, Исторический, Мелодрама","1 час","18","Выходит","SoftBox","Кан Хун,Ким Ки Хэ,Нам Ки Э,О Ман Сок,Рё Ун,Син Йе Ын,Хён У,Чон Гон Джу","Юн Дан О – молодая владелица пансионата Ихвавон. Она смелая, амбициозная, и ей рано пришлось научиться заботиться о себе самостоятельно. Но когда в ее гостевой дом поселились три симпатичных студента, жизнь девушки кардинально изменилась.","roman-v-gostevom-domike"
"Древняя песня о любви","wp-content\uploads\2023\06\drevnyaya-pesnya-o-lyubvi.jpg","Китай","2023","Детектив, Драма, Исторический, Мелодрама, Фантастика","30 мин","14","Выходит","Всё сведено","Го Цзя Нань,Хуан Цзин Чжоу,Чжан Я Цинь","Профессор и автор книг по истории современности Шэнь Бу Ян случайно попадает в древнюю эпоху. Там он встречает Лу Юань, которую в будущем прозвали королевой демонов. Именно она является автором древней поэзии о любви, над тайной которой профессор работал долгие годы. Впереди пару ждет незабываемое захватывающее приключение, полное опасностей, загадок и романтики. Сможет ли Шэнь Бу Ян вернуться в свое время и чем закончится их приключение, узнаем после просмотра.","drevniaia-pesnia-o-liubvi"
"Полицейские реки Хан","wp-content\uploads\2023\09\policejskie-reki-xan.jpg","Южная Корея","2023","Детектив, Драма, Комедия, Триллер","52 мин","6","Выходит","SoftBox","Квон Сан У,Ким Хи Вон,Ли Сан И,Пэ Да Бин,Син Хён Сын,Сон Дон Иль","Река Хан превратилась для корейцев в знаковое место, наполненное романтикой и таинственностью, а потому по ней часто курсировали судна с желающими насладиться приятной атмосферой. А где бывает много людей, появляются и преступники, и полицейским округа Манвон приходится патрулировать реку Хан. Сержант Хан Ду Джин довольно жесткий в отношении нарушителей закона, а смягчает его нрав лейтенант Ли Чхон Сок. Их команду дополняют начальник Сон Дон Иль, капрал Ичон, милашка До На Хи, новичок Ким Джи Су. Полицейским приходится сталкиваться со множеством инцидентов, в которых они проявляют свои профессиональные навыки, а также и человеческие качества.","politseiskie-reki-khan"
"Вне суда","wp-content\uploads\2023\02\vne-suda.jpg","Китай","2022","Детектив, Драма, Криминал","50 мин","2","Выходит","SoftBox","Ли Цзун Хань,Ло Цзинь,Цзяо Цзюнь Янь","Девять лет назад произошло жестокое убийство девушки. Подозреваемого быстро нашли и посадили в тюрьму, где ему выдвинули смертный приговор, но он не подлежал исполнению.","vne-suda"
"Элита прокуратуры","wp-content\uploads\2023\06\elita-prokuratury.jpg","Китай","2023","Детектив, Драма, Криминал","45 мин","4","Выходит","SoftBox","Гао Синь,Го Цзя Нань,Дильраба,Ли И Сяо,Ли Фэй Эр,Сюн Цзы Ци,Тун Да Вэй,Хань Дун,Ю Цзин Жу","Юная Ань Ни поступает на прокурорскую службу, и её привлекают к весьма важному делу, связанному с мошенничеством в сети Интернет. За актами мошенничества стоит крупный синдикат мошенников в сфере телекоммуникаций. По вине синдиката экономические потери пострадавших особ превысили пятьсот миллионов юань. Большую часть операций синдикат проворачивал на территории европейских стран. Была сформирована оперативная группа «Операция 7-23». Ань Ни предстоит объединить свои силы с начальником криминальной полиции, должность которого занимает Хэ Луюань. Вместе с ним девушка вовлечется в водоворот невероятных по впечатлениям и опасности событий, из которых сумеет извлечь много полезного.","elita-prokuratury"
"Ограбление: Корея — Объединенная ...","wp-content\uploads\2022\06\ograblenie-koreya1.jpg","Южная Корея","2022","Детектив, Драма, Криминал, Триллер","1 час 5 мин","12","Выходит","SoftBox","Ким Джи Хун,Ким Джи Хун,Ким Сон О,Ким Юн Чжин,Ли Вон Чжон,Ли Джу Бин,Ли Си У,Ли Хён У,Пэ Сон У,Чон Чжон Со,Ю Джи Тхэ","Сюжет сериала «Ограбление: Корея — Объединенная экономическая зона» является ремейком популярного испанского сериала «Бумажный дом». Действия разворачиваются вокруг группы грабителей, которые захватывают монетный двор вместе с заложниками. Командует всей операцией некий Профессор, чью роль исполнил Ю Джи Тхэ. Он собрал группу лучших преступников, подготовил план дерзкого ограбления, которое будет разворачиваться на протяжении всего сериала.","ograblenie-koreia-obedinennaia"
"Наследие двух сердец","wp-content\uploads\2022\07\nasledie-dvux-serdec.jpg","Таиланд","2022","Детектив, Драма, Мелодрама","1 час 22 мин","107","Выходит","SoftBox","Мик Тонрая","Дорама рассказывает о двух братья-близнецах — Джо и Джее, которые вынуждены искать истину смерти их отца и выступить против мира бизнеса.","nasledie-dvukh-serdets"
"ВИП","wp-content\uploads\2023\10\vip.jpg","Таиланд","2023","Детектив, Драма, Мелодрама","1 час 9 мин","1","Выходит","Red tail","Понг Нават Кулраттанарак,Пуклук Фонтип Ватчаратракун","Главная героиня Рин работает с VIP-клиентами. Она богата, красива и молода, а еще у нее успешный и достойный муж. Казалось, её счастье будет вечным, но однажды она узнает, что супруг изменяет с кем-то из ее коллег, кого она считала своей семьей. С тех вся её жизнь наполнена подозрением и тревогой.","vip"
"Роман: конец игры","wp-content\uploads\2022\07\roman-konec-igry.jpg","Таиланд","2022","Детектив, Драма, Мелодрама, Триллер","1 час 30 мин","18","Выходит","SoftBox","A-Moon,Ван И Лунь,Син Чжао Линь,Цзун Фэн Янь,Чжан Сюэ Ин,Юй И Цзе","Возможны ли в жизни случайные совпадения? Возможно ли спасти тонущую девушку, а потом быть виноватым в смерти её жениха, попав в автоаварию? Герою дорамы Ому придётся всё это испытать на себе. Жизнь парня и жизнь героини — резкой и взбалмошной Джей — шли своим чередом. У обоих возлюбленные, у обоих намечались свадьбы, но автоавария всё это перечеркнула. Страдающей от депрессии Джей и так не легко в жизни, а когда та теряет жениха, то смыслом жизни видит только месть. Но что будет делать девушка, когда узнаёт, что её враг именно тот, кто спас ей жизнь? И что ещё приготовит судьба этим двоим мы узнаем, посмотрев дораму.","roman-konets-igry"
"Пылающая река","wp-content\uploads\2020\12\pylayushhaya-reka.jpg","Китай","2020","Детектив, Драма, Триллер","45 мин","24","Выходит","SoftBox","A-Moon,Ван И Лунь,Син Чжао Линь,Цзун Фэн Янь,Чжан Сюэ Ин,Юй И Цзе","Линь Ю Хон — капитан полиции. День ото дня она сталкивается с убийствами, но несмотря на это остается сосредоточенной и хладнокровной к работе. На самом же деле все это доставляет Ю Хон много переживаний, да и в личной жизни у нее не все гладко. Она развелась и теперь из-за опасной работы, ее сына хотят оставить с бывшим мужем.","pylaiushchaia-reka"
"Трейсер 2","wp-content\uploads\2022\12\trejser-2.jpg","Южная Корея","2022","Детектив, Драма, Триллер","1 час 8 мин","8","Выходит","Red tail","Го А Сон,Им Си Ван,Пак Ён У","«Трейсер 2» — продолжении истории сотрудника налогового отдела Хван Дон Джу. Вместе со своей неповторимой командой упрямый следователь пытается разобраться с коррупцией и другими противозаконными действиями, которые совершают работники налогового управления в Сеуле. За безнаказанностью стоит высшая власть, но Хван Дон Джу настроен решительно и смело, ведь здесь затронуты не только интересы других людей, но и его собственные.","treiser-2"
"Знаменитость","wp-content\uploads\2023\06\znamenitost.jpg","Южная Корея","2023","Детектив, Драма, Триллер","54 мин","12","Выходит","SoftBox","Кан Мин Хёк,Ли Дон Гон,Ли Чун Хо,Ли Чхон А,Нам Ки Э,Ом Хё Соп,Пак Гю Ён,Чон Хё Сон,Чон Хе Сон,Чон Ю Мин","Среди популярных звезд соцсетей внезапно появляется девушка Со А Ри. Она красива, молода, на ней дизайнерская одежда, но она совершенно не та, за кого себя выдает…","znamenitost"
"Охваченный пламенем дом Митарай","wp-content\uploads\2023\07\oxvachennyj-plamenem-dom-mitaraj.jpg","Япония","2023","Детектив, Драма, Триллер","47 мин","8","Выходит","SoftBox","Китано Кии,Китисэ Митико,Кудо Асука,Нагано Мэй,Накагава Тайси,Оикава Мицухиро,Судзуки Кёка","Андзу Мурата так и не удалось забыть тот страшный день, когда сгорела больница Митарай. Помнила девушка и свою мать, которая коленях просила прощение у своего мужа за то, что произошло. Родители девочки после этого инцидента развелись, а отец женился на подруге бывшей жены. С тех пор минуло тринадцать лет, и под именем Шидзуки Ямаучи девушка устраивается домработницей к новой госпоже Митарай. Андзу помнила и ликование на лице материной подруги, когда дом полыхал от пожара. Девушка решительно настроена отомстить настоящей виновнице трагедии, а самое главное вернуть то, что принадлежит по праву ей самой и сестре. А мать сестер находится в больнице, страдает от частичной утраты памяти и не может вернуться к нормальной жизни.","okhvachennyi-plamenem-dom-mitarai"
"Алиса в Пограничье 2","wp-content\uploads\2022\12\alisa-v-pograniche-2.jpg","Япония","2022","Детектив, Драма, Триллер, Фантастика","48 мин","8","Выходит","SoftBox","Асахина Ая,Цутия Тао,Ямасита Томохиса","«Алиса в пограничье 2» — продолжение истории игромана Рёхея Арису и его друзей.","alisa-v-pograniche-2"
"Ветер из Лунси","wp-content\uploads\2022\04\veter-iz-lunsi.jpg","Китай","2022","Детектив, Исторический","45 мин","24","Выходит","Всё сведено","Анджела Бейби,Бай Юй,Ван Сяо,Го Цзин Фэй,Лэй Цзя Инь,Не Юань,Сунь И,Чжан Сяо Чэнь,Чэнь Кунь,Юй Хао Мин","Шпионская дорама расскажет о конфликтах, происходящих между царствами Вэй и Шу. Долгое время между ними шли ожесточенные войны, а когда царству Шу удалось одержать победу, то ее противник начал действовать хитрее. Вэй отправил на другую сторону своих шпионов, чтобы они завладели мощным оружием, благодаря которому выиграли Шу. Но они и не подозревают, что в их стране тоже есть шпионы…","veter-iz-lunsi"
"Письмо с небес","wp-content\uploads\2022\12\pismo-s-nebes.jpg","Китай","2022","Детектив, Исторический, Комедия, Мелодрама","44 мин","26","Выходит","SoftBox","Кэ Ин,Се Бинь Бинь,У Мин Цзин,У Цзя И,Чжан Сы Фань","Молодая, но уже довольно опытная в жизни Шен Ю — сирота с детства. Когда ей поступает предложение выйти замуж, девушка не раздумывая соглашается, но только потому, что за брак ей предложили заплатить. Её будущий муж слаб здоровьем, поэтому героиню замужество не пугает. Однако всё принимает неожиданный оборот, когда Шен Ю узнаёт, что её муж вовсе не парень, а переодетая девушка. В какие игры играет её новая семья и как это связано с троном мы узнаем, посмотрев дораму.","pismo-s-nebes"
"Да, я шпион","wp-content\uploads\2023\07\da-ya-shpion.jpg","Китай","2023","Детектив, Исторический, Комедия, Мелодрама","10 мин","15","Выходит","SoftBox","Ван Сюань","Когда среди шпионов императора обнаружился предатель, который похитил тайный список с именами сыщиков, многие забеспокоились и глава шпионов, Шэнь И Фенгу, получил приказ: найти «крота». Но в дело неожиданно вмешивается юная Чжан Сяо Хуа, которая впервые получила свое задание, и с того момента много чего у шпионов пошло не по плану…","da-ia-shpion"
"Что скрывают маски","wp-content\uploads\2020\01\chto-skryvayut-maski.jpg","Китай","2019","Детектив, Исторический, Мелодрама","45 мин.","55","Выходит","Дораманутая","Е Цин,Жэнь Цзя Лунь,Тань Сун Юнь,Хань Дун,Хань Чэн Юй","Главная героиня дорамы «Что скрывают маски» стражница Шестого ведомства Юань Цзинь Ся, во время расследования встречает капитана императорской гвардии Лу И. Суровый и бескомпромиссный мужчина забирает дело, так как оно связано с кражей важной военной карты. Вступив в небольшую перебранку герои начинают соревноваться, кто первым раскроет дело.","chto-skryvaiut-maski"
"Вечная любовь","wp-content\uploads\2023\06\vechnaya-lyubov-2023.jpg","Китай","2023","Детектив, Исторический, Мелодрама","12 мин","24","Выходит","Light Breeze","Гао Цзи Цай,Гуань Синь","Восемнадцатилетняя А Му, переодетая в парня, приходит на виллу «Красная тень», чтобы стать стражником, а причиной тому выступает намерение отомстить за смерть отца. Секрет девушки раскрывается, когда в неё угодила стрела, а второй молодой господин Чу Цзин Чэнь берется извлечь её. При виде татуировки на теле раненого стражника, он вспоминает звездную девушку Ю Э Си из своего детства, и решает защищать хрупкую особу от любой опасности. Между А Му и Чу Цзин Чэнем вспыхивает любовь и наступает день их свадьбы. Вот только А Му не позабыла о своем намерении отомстить убийце отца, но причинить тому вред представляется сложной задачей, и уже ей грозит смертельная опасность.","vechnaia-liubov"
"Теплая ночь в холодных девяти небесах","wp-content\uploads\2023\02\teplaya-noch-v-xolodnyx-devyati-nebesax.jpg","Китай","2023","Детектив, Исторический, Мелодрама","45 мин","36","Выходит","Дораманутая","Би Вэнь Цзюнь,Ли И Тун,Цзун Фэн Янь,Чэнь Хэ И","Когда в городе происходит череда странных убийств, инспекторы начинают подозревать в них человека из племени Ци – Хэ Чжэна. Народ из этого клана на порядок сильнее обычных людей, и многие боятся с ними просто беседовать.","teplaia-noch-v-kholodnykh-deviati-nebesakh"
"Чосонский психиатр Ю Се Пун 2","wp-content\uploads\2023\01\chosonskij-psixiatr-yu-se-pun-2.jpg","Южная Корея","2023","Детектив, Исторический, Мелодрама","1 час 7 мин","1","Выходит","SoftBox","Кан Ён Сок,Ким Мин Джэ,Ким Сан Гён,Ким Хян Ги,У Да Би","«Чосонский психиатр Ю Се Пун 2» — продолжение истории талантливого доктора, которого из-за подозрений в заговоре выгоняют из королевского дворца.","chosonskii-psikhiatr-iu-se-pun-2"
"Таинственные сказки Чанъаня","wp-content\uploads\2023\06\tainstvennye-skazki-chananya.jpg","Китай","2022","Детектив, Исторический, Мистика","10 мин","18","Выходит","SoftBox","A-Moon,Ван И Лунь,Син Чжао Линь,Цзун Фэн Янь,Чжан Сюэ Ин,Юй И Цзе","Лю Жуань отправляется к господину Чжу Юаньшэню, чтобы скрасить вечер, и находясь в его доме, отмечает несколько странное поведение среди присутствующих людей. Когда ей приходится надеть на себя наряд для посмертного брака, она понимает, что попала в беду. Чжу утонул, и родители приготовили для него невесту. Прошел год, а над могилой Чжу и Лю обнаруживают тело убитого мужчины. Прибывшие на место преступления специалисты должны определить имеется ли связь между зверским обрядом и персоной повешенного. За расследование берутся криминалист Чжан, его внучка Сяомэн, офицер храма Чу Ци и принц Ли Синхэ. Складывается впечатление, что к произошедшему имеет отношение нечто мистическое.","tainstvennye-skazki-chanania"
