"name","poster_dorama_src","country","release_year","genre","duration_minutes","duration_episodes","status","translate","actors","desc","slug"
"Орудие смерти","wp-content\uploads\2023\03\orudie-smerti.jpg","Китай","2039","Триллер, Фантастика","2 часа 11 мин","24","Выходит","SoftBox","Им Джи Кю,Ли Си Он,Пак Пён Ын,Ра Ми Ран,Рю Сын Рён,Сон Дон Иль","В центре внимания сюжета реальное дело об исчезновении пяти мальчиков. В 1991 году, когда в Южной Корее проходили выборы и был объявлен выходной, пять детей отправились в лес, но домой так и не вернулись. Отчаявшиеся родители сразу же обратились в полицию за помощью. Местные службы, объединившись с властями, долго обыскивали территорию, но никаких следов не было обнаружено.","orudie-smerti"
"Линия фронта","wp-content\uploads\2023\03\liniya-fronta.jpg","Китай","2054","Триллер, Фантастика","2 часа 11 мин","25","Выходит","Колобок","Го Су,Го Чан Сок,Ким Ок Бин,Ли Чжэ Хун,Рю Сын Рён,Рю Сын Су,Син Ха Гюн,Чо Джин Ун","Действие сюжета разворачивается в 1953 году, когда до конца гражданской войны в Корее остается несколько месяцев.","liniia-fronta"
"Солнечные","wp-content\uploads\2023\11\solnechnye.jpg","Китай","2070","Триллер, Фантастика","2 часа 4 мин","12","Выходит","Green Tea","Го Джун,Кан Со Ра,Ким Вон Хэ,Ким Хе Ок,Ли Док Хва,Нам Бо Ра,Пак Чжин Чжу,Сим Ын Гён,Сон Джи Ру,Ха Сын Ри,Чин Хи Гён,Чха Тхэ Хён,Чхве Мён Гиль,Чхон У Хи","Замужняя женщина На Ми достигла средних лет, отчего изредка грустила по ушедшей юности. Навещая свою мать в больнице, она обнаруживает в соседней палате бывшую одноклассницу, умирающую от онкологического заболевания.","solnechnye"
"Вой","wp-content\uploads\2023\11\voj.jpg","Китай","2089","Триллер, Фантастика","1 час 54 мин","5","Выходит","SoftBox","Ли На Ён,Ли Сон Мин,Ли Тхэ Ри,Нам Бо Ра,Пак Джин У,Сон Кан Хо,Чон Мин Сон","На парковке в машине сгорает человек, и расследование данного инцидента обрастает множеством вопросов. Личность погибшего не удается установить, а за дело берется неудовлетворенный жизнью детектив. К нему приставляют в качестве напарницы неопытную сотрудницу.","voi"
"Мамочка, не плачь","wp-content\uploads\2023\11\mamochka-ne-plach.jpg","Таиланд","2009","Триллер, Фантастика","1 час 31 мин","95","Выходит","STEPonee","Нам Бо Ра,Син Дон Ми,Шин Дон Хо,Ю Сон","Ю Рим недавно развелась с мужем, и единственное, что ее радовало, — это общение с дочерью. Они были счастливы вдвоем, пока однажды дочь не столкнулась с насилием со стороны одноклассников.","mamochka-ne-plach"
"Мисс Бабуля","wp-content\uploads\2019\03\miss-babulya.jpg","Китай","2059","Триллер, Фантастика","2 часа 04 мин.","27","Выходит","Green Tea","Ким Су Хён,Ли Джин Ук,Пё Йе Чжин,Сим Ын Гён,Сон Дон Иль,Ха Ён Джу,Хван Сын Он,Хван Чон Мин,Чон Джин Ён","Дорама «Мисс Бабуля» посвящена теме вечной молодости и скоротечности человеческой жизни. Главная героиня 74-летняя вдова О Маль Сун, проживающая с детьми и внуками. Как и полагается  пожилому человеку, О Маль Сун много ворчит, ругается, а невестка вовсе считает характер свекрови скверной. Не выдержав капризов бабушки, ее семья решает отправить О Маль Сун в дом престарелых.","miss-babulia"
"Магазин Чансу","wp-content\uploads\2023\08\magazin-chansu1.jpg","Китай","2044","Триллер, Фантастика","1 час 51 мин","6","Выходит","SoftBox","Ким Чон Тхэ,Ли Чо Хи,Мун Га Ён,Пак Гын Хён,Пак Кён Хе,Пак Чан Ёль,Хан Джи Мин,Чо Джин Ун,Чон Хэ Ин,Юн Ё Чжон,Юн Со Хи","Ворчливый семидесятилетний Сон Чхиль работает в магазине Чансу, раскладывая на полках товар, но однажды начальник сообщает о том, что предприятие подвергнется модернизации, и это отразится на занятости пожилого сотрудника. Старик решает воспрепятствовать планам амбициозных молодых людей, оскорбившись, что люди его возраста никому не нужны. Когда в жизни ворчуна появляется добрая и заботливая флористка Гым Ним, он начинает меняться в лучшую сторону. Женщина проникается вниманием к одинокому пожилому мужчине, а дочь Гым Ним решает подыскать матери более достойного спутника жизни.","magazin-chansu"
"Пандора","wp-content\uploads\2023\07\pandora.jpg","Китай","2071","Триллер, Фантастика","2 часа 15 мин","22","Выходит","SoftBox","Ким Джу Хён,Ким Мён Мин,Ким Нам Гиль,Мун Чжон Хи,Чон Джин Ён","Из-за землетрясения в небольшом городе происходит взрыв на местной атомной электростанции. Правительство, вместо того чтобы избежать многих жертв, скрывает аварию и не сразу помогает рабочим, что находились на станции в момент аварии.","pandora"
"В поисках Сеула","wp-content\uploads\2023\08\v-poiskax-seula.jpg","Китай","2078","Триллер, Фантастика","1 час 49 мин","67","Выходит","АрхиАзия","Кан Бёль,Тео Ю,Чха Ин Пё","Когда в Корее случилась масштабная война, и страна разделилась, значительная часть населения подалась в эмиграцию. В итоге между корейцами, которые остались на Родине и теми, кто обосновался в чужих странах, произошел культурный разрыв. В 1986 году правительство Республики Корея принимает решение исправить культурное искажение и создает летнюю школу для подростков, имеющих корейские корни, но проживающих за рубежом. Планировалось, что в данном заведении подростки узнают о своем происхождении и будут чтить родную культуру, но проект оказался провальным, поскольку невозможно было контролировать юных созданий. В числе ребят, которые посетили данную школу были американец Сид, мексиканец Серхио и немец Клуас. В летней школе они предпочли уделить внимание не изучению культуры Кореи, а своей личной жизни.","v-poiskakh-seula"
"Мисс Бэк","wp-content\uploads\2023\07\miss-bek.jpg","Китай","2032","Триллер, Фантастика","1 час 37 мин","9","Выходит","Колобок","Ким Сон Ён,Ли Хи Чжун,Ли Чжу Ён,Ли Чжу Ён,Хан Джи Мин,Чан Ён Нам,Чон Сок Хо","Бэк Сан А вынуждена мыть машины даже в студеную пору, не задумываясь о том, что испортит руки, и одевается легко не по погоде, а все потому, что и сама считает себя, как бывшую заключенную, недостойной лучшей доли. Она успела разувериться в себе и в окружающем мире. Ещё молодая и довольно привлекательная женщина успела стать весьма равнодушной ко всем, в том числе и к своей не так давно умершей матери, а вот кто по-настоящему проникает в сердце этой особы, так одна маленькая девочка, нуждающаяся в присутствии надежного взрослого человека, способного защитить от невзгод. Бэк становится для девочки этим самым взрослым, а небезразличный к женщине мужчина берется защищать их обеих.","miss-bek"
"Шпион направляется на Север","wp-content\uploads\2023\09\shpion-napravlyaetsya-na-sever.jpg","Китай","2099","Триллер, Фантастика","2 часа 17 мин","2","Выходит","SoftBox","Гым Сэ Рок,Ким Пён Ок,Ли Сон Мин,Ли Хе Ри,Пак Сон Ун,Хван Чон Мин,Чжу Чжи Хун,Чо Джин Ун,Чхве Бён Мо","Президент Северной Кореи шокирует мировую общественность прекращением сотрудничества с МАГАТЭ. США и Южная Корея обсуждают вопрос вероятной эскалации на полуострове. Бывший военный Южной Кореи готовится к шпионажу в Северной Корее.","shpion-napravliaetsia-na-sever"
"Мальмои: Секретная миссия","wp-content\uploads\2023\04\malmoi-sekretnaya-missiya.jpg","Китай","2074","Триллер, Фантастика","2 часа 15 мин","21","Выходит","SoftBox","Ким Сон Ён,Ким Тхэ Хун,Мин Джин Ун,Хо Сон Тхэ,Ю Джэ Мён,Юн Ге Сан","История расскажет нам о 40-х годах ХХ века, когда Корея находилась под японской оккупацией и местным жителям не разрешалось издавать литературу и говорить на родном языке.","malmoi-sekretnaia-missiia"
